Data do Negócio,Tipo de Movimentação,Mercado,Prazo/Vencimento,Instituição,Código de Negociação,Quantidade,Preço,Valor
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,47 "," R$36,47 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,47 "," R$36,47 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,47 "," R$36,47 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,47 "," R$36,47 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,3," R$36,46 "," R$109,38 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,46 "," R$36,46 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,46 "," R$36,46 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,47 "," R$36,47 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,47 "," R$36,47 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,47 "," R$36,47 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,46 "," R$36,46 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,47 "," R$36,47 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,ALUP11F,1," R$36,48 "," R$36,48 "
15/04/2026,Compra,Mercado à Vista,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3,41," R$13,91 "," R$570,31 "
15/04/2026,Compra,Mercado à Vista,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3,21," R$13,90 "," R$291,90 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,2," R$13,91 "," R$27,82 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$13,91 "," R$13,91 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$13,95 "," R$13,95 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$13,91 "," R$13,91 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$13,91 "," R$13,91 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,19 "," R$14,19 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$13,96 "," R$13,96 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AURE3F,1," R$14,20 "," R$14,20 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,47 "," R$66,47 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,46 "," R$66,46 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,44 "," R$66,44 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,44 "," R$66,44 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,2," R$66,46 "," R$132,92 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,50 "," R$66,50 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,61 "," R$66,61 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,51 "," R$66,51 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,49 "," R$66,49 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,48 "," R$66,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,46 "," R$66,46 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,46 "," R$66,46 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,46 "," R$66,46 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,48 "," R$66,48 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,47 "," R$66,47 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,51 "," R$66,51 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,60 "," R$66,60 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,60 "," R$66,60 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,50 "," R$66,50 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,61 "," R$66,61 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,46 "," R$66,46 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,44 "," R$66,44 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,46 "," R$66,46 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,AXIA3F,1," R$66,51 "," R$66,51 "
15/04/2026,Compra,Mercado à Vista,-,GENIAL INSTITUCIONAL CCTVM S/A,BBDC4,19," R$20,65 "," R$392,35 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,BBDC4F,1," R$20,67 "," R$20,67 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,BBDC4F,1," R$20,83 "," R$20,83 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,BBDC4F,1," R$20,66 "," R$20,66 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,BBDC4F,1," R$20,76 "," R$20,76 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,BBDC4F,1," R$20,84 "," R$20,84 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,BBDC4F,1," R$20,84 "," R$20,84 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,BBDC4F,1," R$20,84 "," R$20,84 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,BBDC4F,2," R$20,75 "," R$41,50 "
15/04/2026,Compra,Mercado Fracionário,-,GENIAL INSTITUCIONAL CCTVM S/A,BBDC4F,1," R$20,83 "," R$20,83 "
