orig_entrada_saida,orig_data,orig_movimentacao,orig_produto,orig_instituicao,orig_quantidade,orig_preco_unitario,orig_valor_operacao,entrada_saida,data_iso,movimentacao_limpa,produto_limpo,instituicao_limpa,quantidade_numerica,preco_unitario_numerico,tipo_evento_normalizado,operacao_normalizada,ativo_ticker,ativo_nome_limpo,instituicao_normalizada,valor_total_numerico,auditoria_valor_original,categoria_evento,impacto_caixa,impacto_posicao,impacto_custo_medio,necessidade_revisao_manual,inconsistencia_qtd_preco_valor,motivo_revisao
Credito,15/04/2026,Rendimento,BBGO11 - BB FUNDO DE INVESTIMENTO DE CREDITO FIAGRO IMOBILIARIO RESPONSABILIDADE LIMITADA,NU INVESTIMENTOS S.A. - CTVM,5,0.85,4.25,CREDITO,2026-04-15,Rendimento,BBGO11 - BB FUNDO DE INVESTIMENTO DE CREDITO FIAGRO IMOBILIARIO RESPONSABILIDADE LIMITADA,NU INVEST CORRETORA DE VALORES S.A.,5,0.85,PROVENTO,RENDIMENTO,BBGO11,BB FUNDO DE INVESTIMENTO DE CREDITO FIAGRO IMOBILIARIO RESPONSABILIDADE LIMITADA,NU INVEST CORRETORA DE VALORES S.A.,4.25,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""BBGO11 - BB FUNDO DE INVESTIMENTO DE CREDITO FIAGRO IMOBILIARIO RESPONSABILIDADE LIMITADA"",""instituicao"":""NU INVESTIMENTOS S.A. - CTVM"",""quantidade"":""5"",""preco_unitario"":""0.85"",""valor_operacao"":""4.25""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,BRCO11 - FII BRESCO  ,BANCO BTG PACTUAL S/A,2,0.92,1.84,CREDITO,2026-04-15,Rendimento,BRCO11 - FII BRESCO,BANCO BTG PACTUAL S.A.,2,0.92,PROVENTO,RENDIMENTO,BRCO11,FII BRESCO,BANCO BTG PACTUAL S.A.,1.84,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""BRCO11 - FII BRESCO  "",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""2"",""preco_unitario"":""0.92"",""valor_operacao"":""1.84""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,BRCR11 - FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND,BANCO BTG PACTUAL S/A,6,0.41,2.46,CREDITO,2026-04-15,Rendimento,BRCR11 - FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND,BANCO BTG PACTUAL S.A.,6,0.41,PROVENTO,RENDIMENTO,BRCR11,FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND,BANCO BTG PACTUAL S.A.,2.46,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""BRCR11 - FDO INV IMOB - FII BTG PACTUAL CORP. OFFICE FUND"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""6"",""preco_unitario"":""0.41"",""valor_operacao"":""2.46""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,BTCI11 - FII BTG PACTUAL CRÉDITO IMOBILIÁRIO,BANCO BTG PACTUAL S/A,29,0.093,2.69,CREDITO,2026-04-15,Rendimento,BTCI11 - FII BTG PACTUAL CRÉDITO IMOBILIÁRIO,BANCO BTG PACTUAL S.A.,29,0.093,PROVENTO,RENDIMENTO,BTCI11,FII BTG PACTUAL CRÉDITO IMOBILIÁRIO,BANCO BTG PACTUAL S.A.,2.69,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""BTCI11 - FII BTG PACTUAL CRÉDITO IMOBILIÁRIO"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""29"",""preco_unitario"":""0.093"",""valor_operacao"":""2.69""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,BTCI11 - FII BTG PACTUAL CRÉDITO IMOBILIÁRIO,GENIAL INSTITUCIONAL CCTVM S/A,36,0.093,3.34,CREDITO,2026-04-15,Rendimento,BTCI11 - FII BTG PACTUAL CRÉDITO IMOBILIÁRIO,GENIAL INSTITUCIONAL CCTVM S.A.,36,0.093,PROVENTO,RENDIMENTO,BTCI11,FII BTG PACTUAL CRÉDITO IMOBILIÁRIO,GENIAL INSTITUCIONAL CCTVM S.A.,3.34,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""BTCI11 - FII BTG PACTUAL CRÉDITO IMOBILIÁRIO"",""instituicao"":""GENIAL INSTITUCIONAL CCTVM S/A"",""quantidade"":""36"",""preco_unitario"":""0.093"",""valor_operacao"":""3.34""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,FATN11 - FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,BANCO BTG PACTUAL S/A,3,0.8,2.4,CREDITO,2026-04-15,Rendimento,FATN11 - FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,BANCO BTG PACTUAL S.A.,3,0.8,PROVENTO,RENDIMENTO,FATN11,FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,BANCO BTG PACTUAL S.A.,2.4,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""FATN11 - FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""3"",""preco_unitario"":""0.8"",""valor_operacao"":""2.4""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,FATN11 - FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,GENIAL INSTITUCIONAL CCTVM S/A,4,0.8,3.2,CREDITO,2026-04-15,Rendimento,FATN11 - FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,GENIAL INSTITUCIONAL CCTVM S.A.,4,0.8,PROVENTO,RENDIMENTO,FATN11,FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,GENIAL INSTITUCIONAL CCTVM S.A.,3.2,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""FATN11 - FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I"",""instituicao"":""GENIAL INSTITUCIONAL CCTVM S/A"",""quantidade"":""4"",""preco_unitario"":""0.8"",""valor_operacao"":""3.2""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,FGAA11 - FG/AGRO FDO DE INVEST - FIAGRO - IMOBILIÁRIO,BANCO BTG PACTUAL S/A,21,0.115,2.41,CREDITO,2026-04-15,Rendimento,FGAA11 - FG/AGRO FDO DE INVEST - FIAGRO - IMOBILIÁRIO,BANCO BTG PACTUAL S.A.,21,0.115,PROVENTO,RENDIMENTO,FGAA11,FG/AGRO FDO DE INVEST - FIAGRO - IMOBILIÁRIO,BANCO BTG PACTUAL S.A.,2.41,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""FGAA11 - FG/AGRO FDO DE INVEST - FIAGRO - IMOBILIÁRIO"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""21"",""preco_unitario"":""0.115"",""valor_operacao"":""2.41""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,HGBS11 - HEDGE BRASIL SHOPPING FDO INV IMOB,BANCO BTG PACTUAL S/A,16,0.17,2.72,CREDITO,2026-04-15,Rendimento,HGBS11 - HEDGE BRASIL SHOPPING FDO INV IMOB,BANCO BTG PACTUAL S.A.,16,0.17,PROVENTO,RENDIMENTO,HGBS11,HEDGE BRASIL SHOPPING FDO INV IMOB,BANCO BTG PACTUAL S.A.,2.72,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""HGBS11 - HEDGE BRASIL SHOPPING FDO INV IMOB"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""16"",""preco_unitario"":""0.17"",""valor_operacao"":""2.72""}",rendimento,aumenta,sem alteração,não altera,não,não,
Credito,15/04/2026,Rendimento,HGBS11 - HEDGE BRASIL SHOPPING FDO INV IMOB,GENIAL INSTITUCIONAL CCTVM S/A,16,0.17,2.72,CREDITO,2026-04-15,Rendimento,HGBS11 - HEDGE BRASIL SHOPPING FDO INV IMOB,GENIAL INSTITUCIONAL CCTVM S.A.,16,0.17,PROVENTO,RENDIMENTO,HGBS11,HEDGE BRASIL SHOPPING FDO INV IMOB,GENIAL INSTITUCIONAL CCTVM S.A.,2.72,"{""entrada_saida"":""Credito"",""data"":""15/04/2026"",""movimentacao"":""Rendimento"",""produto"":""HGBS11 - HEDGE BRASIL SHOPPING FDO INV IMOB"",""instituicao"":""GENIAL INSTITUCIONAL CCTVM S/A"",""quantidade"":""16"",""preco_unitario"":""0.17"",""valor_operacao"":""2.72""}",rendimento,aumenta,sem alteração,não altera,não,não,
