data_evento,categoria_evento,operacao,entrada_saida,ticker,ativo_nome,instituicao,quantidade,preco_unitario,valor_total,impacto_caixa,impacto_posicao,impacto_custo_medio,revisao_manual,inconsistencia_qtd_preco_valor,status_importacao,motivo_revisar,linha_origem,origem_data,origem_movimentacao,origem_produto,origem_instituicao,origem_quantidade,origem_preco_unitario,origem_valor_operacao,auditoria_valor_original
2026-04-14,subscrição,SUBSCRICAO_DIREITO,CREDITO,GGRC12,GGR COVEPI RENDA FDO INV IMOB RESPONSAB LTDA,BANCO BTG PACTUAL S.A.,10,,,reduz em exercício,aumenta se exercida,altera,TRUE,FALSE,REVISAR,revisao_manual,38,14/04/2026,Direito de Subscrição,GGRC12 - GGR COVEPI RENDA FDO INV IMOB RESPONSAB LTDA,BANCO BTG PACTUAL S/A,10,-,-,"{""entrada_saida"":""Credito"",""data"":""14/04/2026"",""movimentacao"":""Direito de Subscrição"",""produto"":""GGRC12 - GGR COVEPI RENDA FDO INV IMOB RESPONSAB LTDA"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""10"",""preco_unitario"":"" - "",""valor_operacao"":"" - ""}"
2026-04-14,subscrição,SUBSCRICAO_DIREITO,CREDITO,GGRC12,GGR COVEPI RENDA FDO INV IMOB RESPONSAB LTDA,GENIAL INSTITUCIONAL CCTVM S.A.,13,,,reduz em exercício,aumenta se exercida,altera,TRUE,FALSE,REVISAR,revisao_manual,39,14/04/2026,Direito de Subscrição,GGRC12 - GGR COVEPI RENDA FDO INV IMOB RESPONSAB LTDA,GENIAL INSTITUCIONAL CCTVM S/A,13,-,-,"{""entrada_saida"":""Credito"",""data"":""14/04/2026"",""movimentacao"":""Direito de Subscrição"",""produto"":""GGRC12 - GGR COVEPI RENDA FDO INV IMOB RESPONSAB LTDA"",""instituicao"":""GENIAL INSTITUCIONAL CCTVM S/A"",""quantidade"":""13"",""preco_unitario"":"" - "",""valor_operacao"":"" - ""}"
2026-04-14,subscrição,SUBSCRICAO_DIREITO,CREDITO,RECR12,FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS,BANCO BTG PACTUAL S.A.,0,,,reduz em exercício,aumenta se exercida,altera,TRUE,FALSE,REVISAR,revisao_manual,50,14/04/2026,Direito de Subscrição,RECR12 - FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS,BANCO BTG PACTUAL S/A,0,-,-,"{""entrada_saida"":""Credito"",""data"":""14/04/2026"",""movimentacao"":""Direito de Subscrição"",""produto"":""RECR12 - FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""0"",""preco_unitario"":"" - "",""valor_operacao"":"" - ""}"
2026-04-14,subscrição,SUBSCRICAO_DIREITO,CREDITO,RECR12,FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS,GENIAL INSTITUCIONAL CCTVM S.A.,0,,,reduz em exercício,aumenta se exercida,altera,TRUE,FALSE,REVISAR,revisao_manual,51,14/04/2026,Direito de Subscrição,RECR12 - FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS,GENIAL INSTITUCIONAL CCTVM S/A,0,-,-,"{""entrada_saida"":""Credito"",""data"":""14/04/2026"",""movimentacao"":""Direito de Subscrição"",""produto"":""RECR12 - FDO INV IMOB - FII REC RECEBIVEIS IMOBILIARIOS"",""instituicao"":""GENIAL INSTITUCIONAL CCTVM S/A"",""quantidade"":""0"",""preco_unitario"":"" - "",""valor_operacao"":"" - ""}"
2026-04-14,juros sobre capital próprio,JCP,CREDITO,VIVT3,TELEFONICA BRASIL S.A.,BANCO BTG PACTUAL S.A.,2,0.106,0.18,aumenta,sem alteração,não altera,TRUE,TRUE,REVISAR,revisao_manual;inconsistencia_qtd_preco_valor,52,14/04/2026,Juros Sobre Capital Próprio,VIVT3 - TELEFONICA BRASIL S.A.,BANCO BTG PACTUAL S/A,2,0.106,0.18,"{""entrada_saida"":""Credito"",""data"":""14/04/2026"",""movimentacao"":""Juros Sobre Capital Próprio"",""produto"":""VIVT3 - TELEFONICA BRASIL S.A."",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""2"",""preco_unitario"":""0.106"",""valor_operacao"":""0.18""}"
2026-04-14,juros sobre capital próprio,JCP,CREDITO,VIVT3,TELEFONICA BRASIL S.A.,BANCO BTG PACTUAL S.A.,2,0.11,0.18,aumenta,sem alteração,não altera,TRUE,TRUE,REVISAR,revisao_manual;inconsistencia_qtd_preco_valor,53,14/04/2026,Juros Sobre Capital Próprio,VIVT3 - TELEFONICA BRASIL S.A.,BANCO BTG PACTUAL S/A,2,0.11,0.18,"{""entrada_saida"":""Credito"",""data"":""14/04/2026"",""movimentacao"":""Juros Sobre Capital Próprio"",""produto"":""VIVT3 - TELEFONICA BRASIL S.A."",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""2"",""preco_unitario"":""0.11"",""valor_operacao"":""0.18""}"
2026-04-14,juros sobre capital próprio,JCP,CREDITO,VIVT3,TELEFONICA BRASIL S.A.,BANCO BTG PACTUAL S.A.,2,0.119,0.2,aumenta,sem alteração,não altera,TRUE,TRUE,REVISAR,revisao_manual;inconsistencia_qtd_preco_valor,54,14/04/2026,Juros Sobre Capital Próprio,VIVT3 - TELEFONICA BRASIL S.A.,BANCO BTG PACTUAL S/A,2,0.119,0.2,"{""entrada_saida"":""Credito"",""data"":""14/04/2026"",""movimentacao"":""Juros Sobre Capital Próprio"",""produto"":""VIVT3 - TELEFONICA BRASIL S.A."",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""2"",""preco_unitario"":""0.119"",""valor_operacao"":""0.2""}"
2026-04-13,juros sobre capital próprio,JCP,CREDITO,B3SA3,"B3 S.A. - BRASIL, BOLSA, BALCÃO",BANCO BTG PACTUAL S.A.,4,0.074,0.25,aumenta,sem alteração,não altera,TRUE,TRUE,REVISAR,revisao_manual;inconsistencia_qtd_preco_valor,55,13/04/2026,Juros Sobre Capital Próprio,"B3SA3 - B3 S.A. - BRASIL, BOLSA, BALCÃO",BANCO BTG PACTUAL S/A,4,0.074,0.25,"{""entrada_saida"":""Credito"",""data"":""13/04/2026"",""movimentacao"":""Juros Sobre Capital Próprio"",""produto"":""B3SA3 - B3 S.A. - BRASIL, BOLSA, BALCÃO"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""4"",""preco_unitario"":""0.074"",""valor_operacao"":""0.25""}"
2026-04-13,juros sobre capital próprio,JCP,CREDITO,B3SA3,"B3 S.A. - BRASIL, BOLSA, BALCÃO",BANCO BTG PACTUAL S.A.,4,0.074,0.24,aumenta,sem alteração,não altera,TRUE,TRUE,REVISAR,revisao_manual;inconsistencia_qtd_preco_valor,56,13/04/2026,Juros Sobre Capital Próprio,"B3SA3 - B3 S.A. - BRASIL, BOLSA, BALCÃO",BANCO BTG PACTUAL S/A,4,0.074,0.24,"{""entrada_saida"":""Credito"",""data"":""13/04/2026"",""movimentacao"":""Juros Sobre Capital Próprio"",""produto"":""B3SA3 - B3 S.A. - BRASIL, BOLSA, BALCÃO"",""instituicao"":""BANCO BTG PACTUAL S/A"",""quantidade"":""4"",""preco_unitario"":""0.074"",""valor_operacao"":""0.24""}"
2026-04-13,juros sobre capital próprio,JCP,CREDITO,B3SA3,"B3 S.A. - BRASIL, BOLSA, BALCÃO",GENIAL INSTITUCIONAL CCTVM S.A.,26,0.074,1.65,aumenta,sem alteração,não altera,TRUE,TRUE,REVISAR,revisao_manual;inconsistencia_qtd_preco_valor,57,13/04/2026,Juros Sobre Capital Próprio,"B3SA3 - B3 S.A. - BRASIL, BOLSA, BALCÃO",GENIAL INSTITUCIONAL CCTVM S/A,26,0.074,1.65,"{""entrada_saida"":""Credito"",""data"":""13/04/2026"",""movimentacao"":""Juros Sobre Capital Próprio"",""produto"":""B3SA3 - B3 S.A. - BRASIL, BOLSA, BALCÃO"",""instituicao"":""GENIAL INSTITUCIONAL CCTVM S/A"",""quantidade"":""26"",""preco_unitario"":""0.074"",""valor_operacao"":""1.65""}"
